STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,YEAR_HES_HES_003,Year,DECILE_HES_HES_003,Income group,NZHEC_LEV_HES_HES_003,Expenditure category,MEASURE_HES_HES_003,Measure,OBS_VALUE,Observation value,OBS_STATUS,Observation status
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_5,Restaurant meals and ready-to-eat food,AV_WKLY_AMT,,9.20,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_5,Restaurant meals and ready-to-eat food,PER_HHLD_REP,,61.9,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_5,Restaurant meals and ready-to-eat food,SAMPLING_ERROR,,36,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,02,"Alcoholic beverages, tobacco and illicit drugs",AV_WKLY_AMT,,9.10,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,02,"Alcoholic beverages, tobacco and illicit drugs",PER_HHLD_REP,,37.2,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,02,"Alcoholic beverages, tobacco and illicit drugs",SAMPLING_ERROR,,36,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,02_1,Alcoholic beverages,AV_WKLY_AMT,,5.70,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,02_1,Alcoholic beverages,PER_HHLD_REP,,28.4,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,02_1,Alcoholic beverages,SAMPLING_ERROR,,41,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,02_2,Cigarettes and tobacco,AV_WKLY_AMT,,3.40,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,02_2,Cigarettes and tobacco,PER_HHLD_REP,,13.4,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,02_2,Cigarettes and tobacco,SAMPLING_ERROR,,47,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,02_3,Illicit drugs,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,02_3,Illicit drugs,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,03,Clothing and footwear,AV_WKLY_AMT,,10.60,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,03,Clothing and footwear,PER_HHLD_REP,,32.0,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,03,Clothing and footwear,SAMPLING_ERROR,,40,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,03_1,Clothing,AV_WKLY_AMT,,8.10,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,03_1,Clothing,PER_HHLD_REP,,30.0,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,03_1,Clothing,SAMPLING_ERROR,,43,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,03_2,Footwear,AV_WKLY_AMT,,2.50,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,03_2,Footwear,PER_HHLD_REP,,7.3,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,03_2,Footwear,SAMPLING_ERROR,,76,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04,Housing and household utilities,AV_WKLY_AMT,,113.80,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04,Housing and household utilities,PER_HHLD_REP,,98.9,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04,Housing and household utilities,SAMPLING_ERROR,,17,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_1,Actual rentals for housing,AV_WKLY_AMT,,46.90,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_1,Actual rentals for housing,PER_HHLD_REP,,33.7,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_1,Actual rentals for housing,SAMPLING_ERROR,,32,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_2,Home ownership,AV_WKLY_AMT,,7.90,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_2,Home ownership,PER_HHLD_REP,,13.1,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_2,Home ownership,SAMPLING_ERROR,,55,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_3,Property maintenance,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_3,Property maintenance,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_4,Property rates and related services,AV_WKLY_AMT,,18.10,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_4,Property rates and related services,PER_HHLD_REP,,65.1,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_4,Property rates and related services,SAMPLING_ERROR,,20,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_5,Household energy,AV_WKLY_AMT,,26.40,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_5,Household energy,PER_HHLD_REP,,95.9,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_5,Household energy,SAMPLING_ERROR,,17,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_6,Other housing expenses,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,04_6,Other housing expenses,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05,Household contents and services,AV_WKLY_AMT,,21.20,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05,Household contents and services,PER_HHLD_REP,,75.8,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05,Household contents and services,SAMPLING_ERROR,,35,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_1,"Furniture, furnishings and floor coverings",AV_WKLY_AMT,,7.70,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_1,"Furniture, furnishings and floor coverings",PER_HHLD_REP,,24.0,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_1,"Furniture, furnishings and floor coverings",SAMPLING_ERROR,,62,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_2,Household textiles,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_2,Household textiles,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_3,Household appliances,AV_WKLY_AMT,,4.30,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_3,Household appliances,PER_HHLD_REP,,21.3,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_3,Household appliances,SAMPLING_ERROR,,48,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_4,"Glassware, tableware and household utensils",AV_WKLY_AMT,,1.30,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_4,"Glassware, tableware and household utensils",PER_HHLD_REP,,13.4,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_4,"Glassware, tableware and household utensils",SAMPLING_ERROR,,84,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_5,Tools and equipment for house and garden,AV_WKLY_AMT,,2.10,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_5,Tools and equipment for house and garden,PER_HHLD_REP,,20.0,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_5,Tools and equipment for house and garden,SAMPLING_ERROR,,59,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_6,Other household supplies and services,AV_WKLY_AMT,,3.40,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_6,Other household supplies and services,PER_HHLD_REP,,64.4,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,05_6,Other household supplies and services,SAMPLING_ERROR,,23,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,06,Health,AV_WKLY_AMT,,10.30,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,06,Health,PER_HHLD_REP,,49.8,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,06,Health,SAMPLING_ERROR,,27,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,06_1,"Medical products, appliances and equipment",AV_WKLY_AMT,,4.70,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,06_1,"Medical products, appliances and equipment",PER_HHLD_REP,,38.4,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,06_1,"Medical products, appliances and equipment",SAMPLING_ERROR,,29,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,06_2,Out-patient services,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,06_2,Out-patient services,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,06_3,Hospital services,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,06_3,Hospital services,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,07,Transport,AV_WKLY_AMT,,54.20,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,07,Transport,PER_HHLD_REP,,85.6,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,07,Transport,SAMPLING_ERROR,,30,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,07_1,Purchase of vehicles,AV_WKLY_AMT,,20.30,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,07_1,Purchase of vehicles,PER_HHLD_REP,,11.2,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,07_1,Purchase of vehicles,SAMPLING_ERROR,,60,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,07_2,Private transport supplies and services,AV_WKLY_AMT,,27.40,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,07_2,Private transport supplies and services,PER_HHLD_REP,,74.3,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,07_2,Private transport supplies and services,SAMPLING_ERROR,,24,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,07_3,Passenger transport services,AV_WKLY_AMT,,6.50,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,07_3,Passenger transport services,PER_HHLD_REP,,32.0,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,07_3,Passenger transport services,SAMPLING_ERROR,,46,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,08,Communication,AV_WKLY_AMT,,19.40,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,08,Communication,PER_HHLD_REP,,86.9,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,08,Communication,SAMPLING_ERROR,,22,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,08_1,Postal services,AV_WKLY_AMT,,0.80,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,08_1,Postal services,PER_HHLD_REP,,14.4,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,08_1,Postal services,SAMPLING_ERROR,,53,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,08_2,Telecommunication equipment,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,08_2,Telecommunication equipment,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,08_3,Telecommunication services,AV_WKLY_AMT,,18.60,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,08_3,Telecommunication services,PER_HHLD_REP,,86.2,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,08_3,Telecommunication services,SAMPLING_ERROR,,23,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09,Recreation and culture,AV_WKLY_AMT,,34.20,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09,Recreation and culture,PER_HHLD_REP,,86.8,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09,Recreation and culture,SAMPLING_ERROR,,25,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_1,Audio-visual and computing equipment,AV_WKLY_AMT,,4.00,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_1,Audio-visual and computing equipment,PER_HHLD_REP,,19.5,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_1,Audio-visual and computing equipment,SAMPLING_ERROR,,60,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_2,Major recreational and cultural equipment,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_2,Major recreational and cultural equipment,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_3,Other recreational equipment and supplies,AV_WKLY_AMT,,8.90,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_3,Other recreational equipment and supplies,PER_HHLD_REP,,53.8,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_3,Other recreational equipment and supplies,SAMPLING_ERROR,,36,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_4,Recreational and cultural services,AV_WKLY_AMT,,11.60,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_4,Recreational and cultural services,PER_HHLD_REP,,56.4,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_4,Recreational and cultural services,SAMPLING_ERROR,,30,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_5,"Newspapers, books and stationery",AV_WKLY_AMT,,5.00,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_5,"Newspapers, books and stationery",PER_HHLD_REP,,58.6,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_5,"Newspapers, books and stationery",SAMPLING_ERROR,,36,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_6,Accommodation services,AV_WKLY_AMT,,1.70,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_6,Accommodation services,PER_HHLD_REP,,11.6,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_6,Accommodation services,SAMPLING_ERROR,,75,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_7,Package holidays,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_7,Package holidays,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_8,Miscellaneous domestic holiday costs,AV_WKLY_AMT,,1.00,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_8,Miscellaneous domestic holiday costs,PER_HHLD_REP,,15.7,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,09_8,Miscellaneous domestic holiday costs,SAMPLING_ERROR,,50,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,10,Education,AV_WKLY_AMT,,4.20,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,10,Education,PER_HHLD_REP,,4.9,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,10,Education,SAMPLING_ERROR,,117,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,10_1,Early childhood education,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,10_1,Early childhood education,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,10_2,"Primary, intermediate and secondary education",AV_WKLY_AMT,,0.20,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,10_2,"Primary, intermediate and secondary education",PER_HHLD_REP,,1.8,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,10_2,"Primary, intermediate and secondary education",SAMPLING_ERROR,,106,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,10_3,Tertiary and other post school education,AV_WKLY_AMT,,3.90,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,10_3,Tertiary and other post school education,PER_HHLD_REP,,2.4,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,10_3,Tertiary and other post school education,SAMPLING_ERROR,,126,,,
